カテゴリ,サブカテゴリ,質問番号,質問内容,選択肢,回答欄,備考
3. データ・リソースに関する質問,3.1 学習データについて,Q8-1,過去のチェック結果データはありますか？,"はい（件数: _____ 件、期間: _____ 年分）
いいえ",,
3. データ・リソースに関する質問,3.1 学習データについて,Q8-2,過去のチェック結果データの形式は？,"Excel/CSV
データベース
紙の記録
その他: _____",,
3. データ・リソースに関する質問,3.1 学習データについて,Q8-3,学習用の図面サンプルは用意できますか？,"はい（件数: _____ 件）
いいえ",,
3. データ・リソースに関する質問,3.1 学習データについて,Q8-4,学習用データの準備にどの程度時間をかけられますか？,"1ヶ月以内
3ヶ月以内
6ヶ月以内
それ以上",,
3. データ・リソースに関する質問,3.2 マニュアル・基準について,Q9-1,チェック基準のマニュアルはありますか？,"はい（形式: _____、ページ数: _____）
いいえ",,
3. データ・リソースに関する質問,3.2 マニュアル・基準について,Q9-2,マニュアルはデジタル化されていますか？,"はい（PDF、Word等）
いいえ（紙のみ）",,
3. データ・リソースに関する質問,3.2 マニュアル・基準について,Q9-3,マニュアルの更新頻度は？,"月1回以上
四半期に1回程度
年に1回程度
ほとんど更新されない",,
4. 予算・リソースに関する質問,4.1 開発予算について,Q10-1,開発予算の上限は？,_____ 万円,,
4. 予算・リソースに関する質問,4.1 開発予算について,Q10-2,開発期間の上限は？,_____ ヶ月,,
4. 予算・リソースに関する質問,4.1 開発予算について,Q10-3,開発リソース（人員）は？,"開発者: _____ 人
プロジェクトマネージャー: _____ 人
その他: _____",,
4. 予算・リソースに関する質問,4.2 運用コストについて,Q11-1,月額運用コストの上限は？,_____ 万円,,
4. 予算・リソースに関する質問,4.2 運用コストについて,Q11-2,運用コストに含まれるものは？,"サーバー費用
API利用料（OCR等）
メンテナンス費用
その他: _____",,
4. 予算・リソースに関する質問,4.2 運用コストについて,Q11-3,メンテナンス・改善の予算は？,"月額: _____ 万円
年額: _____ 万円",,
4. 予算・リソースに関する質問,4.3 投資対効果について,Q12-1,投資回収期間の目標は？,_____ 年以内,,
4. 予算・リソースに関する質問,4.3 投資対効果について,Q12-2,ROI（投資対効果）の目標は？,_____ 倍以上,,
5. リスク・制約に関する質問,5.1 技術的リスクについて,Q13-1,OCR精度が期待通りでない場合の対応は？,"手動確認を併用
精度向上のための追加開発
プロジェクト中止
その他: _____",,
5. リスク・制約に関する質問,5.1 技術的リスクについて,Q13-2,チェック項目の判定精度が低い場合の対応は？,"手動確認を併用
ルールの見直し・改善
プロジェクト中止
その他: _____",,
5. リスク・制約に関する質問,5.1 技術的リスクについて,Q13-3,システムの障害・不具合が発生した場合の影響は？,"業務停止（許容できない）
一時的な業務停止（許容できる）
手動チェックに戻る（問題ない）",,
5. リスク・制約に関する質問,5.2 業務的リスクについて,Q14-1,システム導入による業務フローの変更は許容できますか？,"はい（大幅な変更も可）
部分的に変更可能
最小限の変更のみ",,
5. リスク・制約に関する質問,5.2 業務的リスクについて,Q14-2,システム導入による教育・トレーニングの時間は確保できますか？,"はい（_____ 時間/人）
いいえ",,
5. リスク・制約に関する質問,5.2 業務的リスクについて,Q14-3,システム導入による一時的な業務効率の低下は許容できますか？,"はい（_____ ヶ月間）
いいえ",,
5. リスク・制約に関する質問,5.3 セキュリティ・コンプライアンスについて,Q15-1,図面データの取り扱いに関する制約はありますか？,"社内サーバーのみ
クラウド利用可（条件: _____）
外部API利用不可
その他: _____",,
5. リスク・制約に関する質問,5.3 セキュリティ・コンプライアンスについて,Q15-2,データの保存期間は？,"チェック後すぐ削除
_____ ヶ月間保存
永続保存",,
5. リスク・制約に関する質問,5.3 セキュリティ・コンプライアンスについて,Q15-3,アクセス制御の要件は？,"特定ユーザーのみ
部署単位
全社員
その他: _____",,
6. 優先順位・段階的実装について,6.1 機能の優先順位について,Q16-1,最も優先したい機能は？（複数選択可、優先順位付き）,"1. _____
2. _____
3. _____",,
6. 優先順位・段階的実装について,6.1 機能の優先順位について,Q16-2,最初のフェーズで実現したい機能は？,"テキストベースのチェックのみ
OCR機能も含む
図面要素認識も含む",,
6. 優先順位・段階的実装について,6.1 機能の優先順位について,Q16-3,後回しにできる機能は？,"_____
_____
_____",,
6. 優先順位・段階的実装について,6.2 段階的実装について,Q17-1,段階的な実装は可能ですか？,"はい（MVP → 機能拡張 → 高度な機能）
いいえ（一括実装が必要）",,
6. 優先順位・段階的実装について,6.2 段階的実装について,Q17-2,最初のMVPで実現すべき最小機能は？,"_____
_____
_____",,
6. 優先順位・段階的実装について,6.2 段階的実装について,Q17-3,MVPの完成目標時期は？,_____ ヶ月後,,
7. OCR部分の技術的評価（特に重要）,7.1 OCRの必要性と実現可能性,Q18-1,スキャン図面の割合は？,"80%以上 → OCR必須、研究的要素が高い
50-80% → OCR重要、実現可能性を慎重に評価
30-50% → OCRは補助的、テキストベースを優先
30%未満 → OCRはオプション、後回し可",,特に重要
7. OCR部分の技術的評価（特に重要）,7.1 OCRの必要性と実現可能性,Q18-2,OCR精度の実現可能性評価,"高品質スキャン（300dpi以上）→ 実現可能性: 高
中品質スキャン（200-300dpi）→ 実現可能性: 中
低品質スキャン（150dpi以下）→ 実現可能性: 低（研究的要素が高い）",,特に重要
7. OCR部分の技術的評価（特に重要）,7.1 OCRの必要性と実現可能性,Q18-3,OCRの代替案は検討できますか？,"設計事務所にCAD出力PDFの提出を依頼
スキャン図面は手動チェック
OCR精度向上のための前処理（画像補正等）
その他: _____",,
7. OCR部分の技術的評価（特に重要）,7.2 OCR実装の選択肢,Q19-1,OCR実装方法の希望は？,"オープンソース（Tesseract）
商用OCR API（Google Cloud Vision、AWS Textract等）
自社開発（機械学習モデル）",,"詳細: オープンソース（無料、カスタマイズ可能、精度が低い可能性、日本語対応が弱い、実現可能性: 中）
商用OCR API（高精度、日本語対応が良い、コストがかかる、外部依存、実現可能性: 高）
自社開発（カスタマイズ可能、精度向上の余地、開発コストが高い、時間がかかる、実現可能性: 低）"
7. OCR部分の技術的評価（特に重要）,7.2 OCR実装の選択肢,Q19-2,OCR精度向上のための前処理は検討できますか？,"画像の前処理（ノイズ除去、コントラスト調整等）
図面レイアウトの認識
文字領域の特定
その他: _____",,
